# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.2000000e+00
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
1              	1.4007734e-02	-8.7539070e-03	-1.5187921e-06	-8.6524477e-08	-5.6486877e-07	5.8611873e-03	7.0037806e-03	7.0039536e-03	1.4842338e-03	-1.0238141e-02	-1.3242648e-06	-1.9452727e-07
2              	6.1903281e-02	-3.5463249e-02	1.4741207e-05	4.4354526e-04	8.3929020e-04	1.5675967e-02	3.1395186e-02	3.0508095e-02	-2.0556575e-03	-3.3407591e-02	8.4666080e-04	-8.3191959e-04
3              	1.1475713e-01	-6.2445043e-02	-4.4985481e-05	2.4223551e-04	4.9080659e-04	1.7832855e-02	5.7620800e-02	5.7136329e-02	-1.3389667e-02	-4.9055376e-02	4.6831385e-04	-5.1329933e-04
4              	1.5061974e-01	-7.9832309e-02	-2.9122434e-05	1.8165251e-04	3.7138299e-04	1.5476761e-02	7.5491525e-02	7.5128220e-02	-2.4439394e-02	-5.5392915e-02	3.5682177e-04	-3.8594420e-04
5              	1.6987203e-01	-8.8996572e-02	-1.2708229e-06	9.6605475e-05	1.9971854e-04	1.2211016e-02	8.5032623e-02	8.4839412e-02	-3.2287270e-02	-5.6709302e-02	1.9908313e-04	-2.0035395e-04
6              	1.7848668e-01	-9.3181713e-02	1.7552092e-05	5.0592776e-05	9.9893422e-05	9.9247224e-03	8.9293932e-02	8.9192746e-02	-3.6666134e-02	-5.6515579e-02	1.0866947e-04	-9.1117376e-05
7              	1.8167274e-01	-9.4874873e-02	2.4943497e-05	3.2052549e-05	5.6143086e-05	8.7648508e-03	9.0868423e-02	9.0804318e-02	-3.8672585e-02	-5.6202287e-02	6.8614834e-05	-4.3671337e-05
8              	1.8273146e-01	-9.5587077e-02	2.5176574e-05	2.5111590e-05	3.9154704e-05	8.3022770e-03	9.1390841e-02	9.1340618e-02	-3.9491261e-02	-5.6095815e-02	5.1742991e-05	-2.6566417e-05
9              	1.8321475e-01	-9.6010690e-02	2.2179990e-05	2.1345956e-05	3.1484397e-05	8.1434191e-03	9.1628723e-02	9.1586031e-02	-3.9861926e-02	-5.6148764e-02	4.2574392e-05	-2.0394402e-05
10             	1.8362937e-01	-9.6363193e-02	1.8196930e-05	1.7853202e-05	2.5973099e-05	8.0844526e-03	9.1832537e-02	9.1796831e-02	-4.0097144e-02	-5.6266049e-02	3.5071564e-05	-1.6874634e-05
