# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3849340e+00
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
1              	1.2137243e-02	-7.5849740e-03	-1.3159836e-06	-7.4970628e-08	-4.8944031e-07	5.0785271e-03	6.0685467e-03	6.0686967e-03	1.2860400e-03	-8.8710141e-03	-1.1474321e-06	-1.6855151e-07
2              	5.3637168e-02	-3.0727745e-02	1.2772774e-05	3.8431745e-04	7.2721750e-04	1.3582713e-02	2.7202901e-02	2.6434266e-02	-1.7811600e-03	-2.8946585e-02	7.3360388e-04	-7.2083111e-04
3              	9.9433298e-02	-5.4106587e-02	-3.8978448e-05	2.0988914e-04	4.2526785e-04	1.5451585e-02	4.9926538e-02	4.9506760e-02	-1.1601708e-02	-4.2504879e-02	4.0577863e-04	-4.4475708e-04
4              	1.3050708e-01	-6.9172084e-02	-2.5233636e-05	1.5739595e-04	3.2179121e-04	1.3410107e-02	6.5410936e-02	6.5096144e-02	-2.1175936e-02	-4.7996149e-02	3.0917439e-04	-3.3440802e-04
5              	1.4718856e-01	-7.7112618e-02	-1.1011264e-06	8.3705483e-05	1.7304958e-04	1.0580446e-02	7.3677985e-02	7.3510574e-02	-2.7975863e-02	-4.9136755e-02	1.7249902e-04	-1.7360014e-04
6              	1.5465287e-01	-8.0738906e-02	1.5208313e-05	4.3836985e-05	8.6554382e-05	8.5994472e-03	7.7370270e-02	7.7282597e-02	-3.1770006e-02	-4.8968900e-02	9.4158539e-05	-7.8950226e-05
7              	1.5741349e-01	-8.2205973e-02	2.1612724e-05	2.7772485e-05	4.8646147e-05	7.5944565e-03	7.8734516e-02	7.8678971e-02	-3.3508530e-02	-4.8697443e-02	5.9452509e-05	-3.7839785e-05
8              	1.5833083e-01	-8.2823075e-02	2.1814677e-05	2.1758371e-05	3.3926270e-05	7.1936514e-03	7.9187174e-02	7.9143657e-02	-3.4217886e-02	-4.8605189e-02	4.4833609e-05	-2.3018931e-05
9              	1.5874959e-01	-8.3190121e-02	1.9218236e-05	1.8495573e-05	2.7280200e-05	7.0560062e-03	7.9393290e-02	7.9356299e-02	-3.4539054e-02	-4.8651067e-02	3.6889318e-05	-1.7671082e-05
10             	1.5910884e-01	-8.3495554e-02	1.5767045e-05	1.5469215e-05	2.2504841e-05	7.0049136e-03	7.9569889e-02	7.9538950e-02	-3.4742864e-02	-4.8752691e-02	3.0388363e-05	-1.4621318e-05
