# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1              	(8.4046405e-03 -9.1127525e-07 5.2523442e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.4046405e-03 -9.1127525e-07 5.2523442e-03)
2              	(3.7141969e-02 8.8447243e-06 2.1277949e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.7141969e-02 8.8447243e-06 2.1277949e-02)
3              	(6.8854278e-02 -2.6991289e-05 3.7467026e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.8854278e-02 -2.6991289e-05 3.7467026e-02)
4              	(9.0371847e-02 -1.7473460e-05 4.7899386e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(9.0371847e-02 -1.7473460e-05 4.7899386e-02)
5              	(1.0192322e-01 -7.6249373e-07 5.3397943e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0192322e-01 -7.6249373e-07 5.3397943e-02)
6              	(1.0709201e-01 1.0531255e-05 5.5909028e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0709201e-01 1.0531255e-05 5.5909028e-02)
7              	(1.0900365e-01 1.4966098e-05 5.6924924e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0900365e-01 1.4966098e-05 5.6924924e-02)
8              	(1.0963888e-01 1.5105944e-05 5.7352246e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0963888e-01 1.5105944e-05 5.7352246e-02)
9              	(1.0992885e-01 1.3307994e-05 5.7606414e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0992885e-01 1.3307994e-05 5.7606414e-02)
10             	(1.1017762e-01 1.0918158e-05 5.7817916e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1017762e-01 1.0918158e-05 5.7817916e-02)
11             	(1.1042663e-01 8.5875810e-06 5.8003362e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1042663e-01 8.5875810e-06 5.8003362e-02)
12             	(1.1065124e-01 6.6024585e-06 5.8154802e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1065124e-01 6.6024585e-06 5.8154802e-02)
13             	(1.1083160e-01 5.0212098e-06 5.8268776e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1083160e-01 5.0212098e-06 5.8268776e-02)
14             	(1.1096337e-01 3.8084315e-06 5.8348785e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1096337e-01 3.8084315e-06 5.8348785e-02)
15             	(1.1105275e-01 2.8956498e-06 5.8401948e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1105275e-01 2.8956498e-06 5.8401948e-02)
16             	(1.1110969e-01 2.2127580e-06 5.8435707e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1110969e-01 2.2127580e-06 5.8435707e-02)
17             	(1.1114384e-01 1.7010638e-06 5.8456303e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1114384e-01 1.7010638e-06 5.8456303e-02)
18             	(1.1116294e-01 1.3150050e-06 5.8468373e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116294e-01 1.3150050e-06 5.8468373e-02)
19             	(1.1117255e-01 1.0213399e-06 5.8475109e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1117255e-01 1.0213399e-06 5.8475109e-02)
20             	(1.1117647e-01 7.9620739e-07 5.8478612e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1117647e-01 7.9620739e-07 5.8478612e-02)
