# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1              	(-3.1148812e-08 2.1100274e-03 2.0335276e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(-3.1148812e-08 2.1100274e-03 2.0335276e-07)
2              	(1.5967629e-04 5.6433481e-03 -3.0214447e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.5967629e-04 5.6433481e-03 -3.0214447e-04)
3              	(8.7204782e-05 6.4198277e-03 -1.7669037e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.7204782e-05 6.4198277e-03 -1.7669037e-04)
4              	(6.5394902e-05 5.5716338e-03 -1.3369787e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.5394902e-05 5.5716338e-03 -1.3369787e-04)
5              	(3.4777971e-05 4.3959659e-03 -7.1898674e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.4777971e-05 4.3959659e-03 -7.1898674e-05)
6              	(1.8213399e-05 3.5729001e-03 -3.5961632e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.8213399e-05 3.5729001e-03 -3.5961632e-05)
7              	(1.1538918e-05 3.1553463e-03 -2.0211511e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1538918e-05 3.1553463e-03 -2.0211511e-05)
8              	(9.0401723e-06 2.9888197e-03 -1.4095693e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(9.0401723e-06 2.9888197e-03 -1.4095693e-05)
9              	(7.6845442e-06 2.9316309e-03 -1.1334383e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6845442e-06 2.9316309e-03 -1.1334383e-05)
10             	(6.4271527e-06 2.9104029e-03 -9.3503157e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.4271527e-06 2.9104029e-03 -9.3503157e-06)
11             	(5.1579148e-06 2.8994509e-03 -7.5218787e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.1579148e-06 2.8994509e-03 -7.5218787e-06)
12             	(4.0235305e-06 2.8931512e-03 -5.9122449e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.0235305e-06 2.8931512e-03 -5.9122449e-06)
13             	(3.0950962e-06 2.8908986e-03 -4.5886858e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.0950962e-06 2.8908986e-03 -4.5886858e-06)
14             	(2.3753034e-06 2.8922215e-03 -3.5530184e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.3753034e-06 2.8922215e-03 -3.5530184e-06)
15             	(1.8307512e-06 2.8960620e-03 -2.7617937e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.8307512e-06 2.8960620e-03 -2.7617937e-06)
16             	(1.4202976e-06 2.9012052e-03 -2.1594630e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.4202976e-06 2.9012052e-03 -2.1594630e-06)
17             	(1.1090517e-06 2.9066468e-03 -1.6980229e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1090517e-06 2.9066468e-03 -1.6980229e-06)
18             	(8.7002363e-07 2.9117231e-03 -1.3400640e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.7002363e-07 2.9117231e-03 -1.3400640e-06)
19             	(6.8449789e-07 2.9160891e-03 -1.0594930e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.8449789e-07 2.9160891e-03 -1.0594930e-06)
20             	(5.3945566e-07 2.9196307e-03 -8.3809284e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.3945566e-07 2.9196307e-03 -8.3809284e-07)
21             	(4.2549503e-07 2.9223753e-03 -6.6270415e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.2549503e-07 2.9223753e-03 -6.6270415e-07)
22             	(3.3568216e-07 2.9244224e-03 -5.2351966e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.3568216e-07 2.9244224e-03 -5.2351966e-07)
23             	(2.6478828e-07 2.9258967e-03 -4.1303760e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.6478828e-07 2.9258967e-03 -4.1303760e-07)
24             	(2.0878881e-07 2.9269217e-03 -3.2539442e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.0878881e-07 2.9269217e-03 -3.2539442e-07)
25             	(1.6455114e-07 2.9276061e-03 -2.5595261e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.6455114e-07 2.9276061e-03 -2.5595261e-07)
26             	(1.2960978e-07 2.9280397e-03 -2.0100833e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.2960978e-07 2.9280397e-03 -2.0100833e-07)
27             	(1.0202402e-07 2.9282932e-03 -1.5760521e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0202402e-07 2.9282932e-03 -1.5760521e-07)
28             	(8.0258825e-08 2.9284204e-03 -1.2337748e-07)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.0258825e-08 2.9284204e-03 -1.2337748e-07)
29             	(6.3098147e-08 2.9284615e-03 -9.6432397e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.3098147e-08 2.9284615e-03 -9.6432397e-08)
30             	(4.9577996e-08 2.9284460e-03 -7.5257375e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.9577996e-08 2.9284460e-03 -7.5257375e-08)
31             	(3.8934145e-08 2.9283951e-03 -5.8645525e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.8934145e-08 2.9283951e-03 -5.8645525e-08)
32             	(3.0560915e-08 2.9283241e-03 -4.5635564e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.0560915e-08 2.9283241e-03 -4.5635564e-08)
33             	(2.3963744e-08 2.9282431e-03 -3.5453738e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.3963744e-08 2.9282431e-03 -3.5453738e-08)
34             	(1.8758365e-08 2.9281604e-03 -2.7470767e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.8758365e-08 2.9281604e-03 -2.7470767e-08)
35             	(1.4688536e-08 2.9280813e-03 -2.1263232e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.4688536e-08 2.9280813e-03 -2.1263232e-08)
36             	(1.1508398e-08 2.9280086e-03 -1.6447075e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1508398e-08 2.9280086e-03 -1.6447075e-08)
37             	(8.9888675e-09 2.9279431e-03 -1.2680448e-08)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.9888675e-09 2.9279431e-03 -1.2680448e-08)
38             	(6.9714391e-09 2.9278864e-03 -9.6978216e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.9714391e-09 2.9278864e-03 -9.6978216e-09)
39             	(5.4305504e-09 2.9278392e-03 -7.4293597e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.4305504e-09 2.9278392e-03 -7.4293597e-09)
40             	(4.2515209e-09 2.9278005e-03 -5.7088092e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.2515209e-09 2.9278005e-03 -5.7088092e-09)
41             	(3.3406387e-09 2.9277694e-03 -4.3984392e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.3406387e-09 2.9277694e-03 -4.3984392e-09)
42             	(2.6307975e-09 2.9277449e-03 -3.3953054e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.6307975e-09 2.9277449e-03 -3.3953054e-09)
43             	(2.0741649e-09 2.9277261e-03 -2.6237773e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.0741649e-09 2.9277261e-03 -2.6237773e-09)
44             	(1.6359683e-09 2.9277122e-03 -2.0283215e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.6359683e-09 2.9277122e-03 -2.0283215e-09)
45             	(1.2902930e-09 2.9277024e-03 -1.5677991e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.2902930e-09 2.9277024e-03 -1.5677991e-09)
46             	(1.0173796e-09 2.9276959e-03 -1.2113158e-09)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.0173796e-09 2.9276959e-03 -1.2113158e-09)
47             	(8.0873055e-10 2.9276919e-03 -9.4515970e-10)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.0873055e-10 2.9276919e-03 -9.4515970e-10)
48             	(6.1678266e-10 2.9276898e-03 -7.0331634e-10)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.1678266e-10 2.9276898e-03 -7.0331634e-10)
49             	(4.7650355e-10 2.9276893e-03 -5.2745096e-10)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.7650355e-10 2.9276893e-03 -5.2745096e-10)
50             	(3.7576179e-10 2.9276900e-03 -4.0357920e-10)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.7576179e-10 2.9276900e-03 -4.0357920e-10)
51             	(3.0094873e-10 2.9276912e-03 -3.1484121e-10)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.0094873e-10 2.9276912e-03 -3.1484121e-10)
