# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3437500e+01
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
1              	8.7249055e-04	-2.6734504e-06	6.7710143e-06	7.7860438e-04	1.3552155e-05	1.5730882e-05	1.2148497e-03	-3.4235911e-04	1.4394157e-05	-1.7067607e-05	1.6937662e-05	-1.0166648e-05
2              	2.2402975e-03	-8.7652678e-05	3.2513798e-05	1.5914884e-03	1.2455925e-04	3.1972538e-05	2.7116372e-03	-4.7133971e-04	-1.1853801e-05	-7.5798877e-05	1.4081614e-04	-1.0830235e-04
3              	5.0481068e-03	-2.0135497e-04	4.5659526e-05	2.9579579e-03	1.8274677e-04	5.8744469e-05	5.4820113e-03	-4.3390448e-04	-4.1933016e-05	-1.5942195e-04	2.0557653e-04	-1.5991701e-04
4              	8.4812609e-03	-2.5759294e-04	6.0499834e-05	4.3078266e-03	2.1683420e-04	1.1721673e-04	8.5484571e-03	-6.7196161e-05	-1.1579740e-05	-2.4601320e-04	2.4708412e-04	-1.8658429e-04
5              	1.2459602e-02	-2.6002068e-04	8.2388818e-05	5.5713066e-03	2.4399914e-04	2.0265696e-04	1.1801107e-02	6.5849434e-04	7.2646618e-05	-3.3266730e-04	2.8519355e-04	-2.0280473e-04
6              	1.7086960e-02	-2.3787716e-04	1.0803729e-04	6.7762644e-03	2.6075397e-04	2.9226669e-04	1.5319745e-02	1.7672157e-03	1.7332812e-04	-4.1120527e-04	3.1477261e-04	-2.0673532e-04
7              	2.2347493e-02	-2.0716977e-04	1.3427165e-04	7.8993401e-03	2.6110763e-04	3.6645176e-04	1.9073087e-02	3.2744065e-03	2.6286687e-04	-4.7003664e-04	3.2824345e-04	-1.9397180e-04
8              	2.8086268e-02	-1.7297969e-04	1.5966003e-04	8.8945530e-03	2.4410808e-04	4.1775109e-04	2.2937687e-02	5.1485810e-03	3.3126124e-04	-5.0424093e-04	3.2393809e-04	-1.6427806e-04
9              	3.4105857e-02	-1.3890809e-04	1.8352498e-04	9.7407816e-03	2.1198029e-04	4.4278757e-04	2.6793710e-02	7.3121468e-03	3.7333353e-04	-5.1224162e-04	3.0374278e-04	-1.2021780e-04
10             	4.0227725e-02	-1.0766830e-04	2.0553292e-04	1.0447985e-02	1.6745220e-04	4.4571144e-04	3.0561847e-02	9.6658780e-03	3.9187730e-04	-4.9954559e-04	2.7021865e-04	-6.4685736e-05
11             	4.6304852e-02	-8.1528077e-05	2.2550236e-04	1.1042034e-02	1.1372946e-04	4.3298802e-04	3.4194460e-02	1.2110392e-02	3.9222398e-04	-4.7375206e-04	2.2648063e-04	-9.7827729e-07
12             	5.2218697e-02	-6.1253127e-05	2.4370042e-04	1.1547003e-02	5.4983831e-05	4.1315309e-04	3.7656352e-02	1.4562345e-02	3.8252652e-04	-4.4377965e-04	1.7683404e-04	6.6866381e-05
13             	5.7875906e-02	-4.7239645e-05	2.6029390e-04	1.1979977e-02	-5.2074722e-06	3.9036188e-04	4.0917930e-02	1.6957976e-02	3.6674206e-04	-4.1398170e-04	1.2493948e-04	1.3535442e-04
14             	6.3213506e-02	1.8014403e-05	2.7376940e-04	1.2352562e-02	-7.4984390e-05	4.9400520e-04	4.3959315e-02	1.9254191e-02	5.0301240e-04	-4.8499800e-04	6.1900312e-05	2.1186909e-04
15             	6.8190714e-02	1.9549395e-05	2.8541814e-04	1.2676879e-02	-1.3478495e-04	4.5990879e-04	4.6772236e-02	2.1418478e-02	4.6968349e-04	-4.5013410e-04	7.9241187e-06	2.7749402e-04
16             	7.2785248e-02	6.8783223e-05	2.9543100e-04	1.2952971e-02	-1.9284803e-04	6.0259338e-04	4.9345595e-02	2.3439653e-02	6.3698499e-04	-5.6820177e-04	-4.5132529e-05	3.4056353e-04
