# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1              	(5.8620459e-03 4.5492752e-05 1.7962245e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.8620459e-03 4.5492752e-05 1.7962245e-05)
2              	(1.5051999e-02 2.1845208e-04 5.8891643e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.5051999e-02 2.1845208e-04 5.8891643e-04)
3              	(3.3916968e-02 3.0677494e-04 1.3528537e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.3916968e-02 3.0677494e-04 1.3528537e-03)
4              	(5.6983472e-02 4.0648326e-04 1.7307025e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.6983472e-02 4.0648326e-04 1.7307025e-03)
5              	(8.3712950e-02 5.5354987e-04 1.7470139e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(8.3712950e-02 5.5354987e-04 1.7470139e-03)
6              	(1.1480301e-01 7.2587554e-04 1.5982371e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1480301e-01 7.2587554e-04 1.5982371e-03)
7              	(1.5014722e-01 9.0213765e-04 1.3919219e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.5014722e-01 9.0213765e-04 1.3919219e-03)
8              	(1.8870461e-01 1.0727158e-03 1.1622073e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.8870461e-01 1.0727158e-03 1.1622073e-03)
9              	(2.2914873e-01 1.2330584e-03 9.3328875e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.2914873e-01 1.2330584e-03 9.3328875e-04)
10             	(2.7028003e-01 1.3809243e-03 7.2339637e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.7028003e-01 1.3809243e-03 7.2339637e-04)
11             	(3.1111073e-01 1.5150940e-03 5.4776677e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.1111073e-01 1.5150940e-03 5.4776677e-04)
12             	(3.5084437e-01 1.6373622e-03 4.1154445e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.5084437e-01 1.6373622e-03 4.1154445e-04)
13             	(3.8885374e-01 1.7488496e-03 3.1739137e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.8885374e-01 1.7488496e-03 3.1739137e-04)
14             	(4.2471575e-01 1.8393882e-03 -1.2103427e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.2471575e-01 1.8393882e-03 -1.2103427e-04)
15             	(4.5815636e-01 1.9176532e-03 -1.3134750e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.5815636e-01 1.9176532e-03 -1.3134750e-04)
16             	(4.8902588e-01 1.9849270e-03 -4.6213728e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.8902588e-01 1.9849270e-03 -4.6213728e-04)
17             	(5.1733772e-01 2.0342340e-03 -7.3882873e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.1733772e-01 2.0342340e-03 -7.3882873e-04)
18             	(5.4314410e-01 2.0730326e-03 -9.7007320e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.4314410e-01 2.0730326e-03 -9.7007320e-04)
19             	(5.6654094e-01 2.1159886e-03 -9.3560233e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.6654094e-01 2.1159886e-03 -9.3560233e-04)
20             	(5.8771712e-01 2.1510339e-03 -1.0552593e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.8771712e-01 2.1510339e-03 -1.0552593e-03)
21             	(6.0688367e-01 2.1712299e-03 -1.1394101e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.0688367e-01 2.1712299e-03 -1.1394101e-03)
22             	(6.2419416e-01 2.1838326e-03 -1.1930854e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.2419416e-01 2.1838326e-03 -1.1930854e-03)
