# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1              	(3.1387489e-03 6.3415118e-05 -5.4632124e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.1387489e-03 6.3415118e-05 -5.4632124e-05)
2              	(6.4156878e-03 1.2888929e-04 -5.0212946e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(6.4156878e-03 1.2888929e-04 -5.0212946e-04)
3              	(1.1924268e-02 2.3681364e-04 -7.3669792e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1924268e-02 2.3681364e-04 -7.3669792e-04)
4              	(1.7365926e-02 4.7252993e-04 -8.7411288e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.7365926e-02 4.7252993e-04 -8.7411288e-04)
5              	(2.2459330e-02 8.1696086e-04 -9.8362153e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.2459330e-02 8.1696086e-04 -9.8362153e-04)
6              	(2.7316816e-02 1.1782001e-03 -1.0511644e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(2.7316816e-02 1.1782001e-03 -1.0511644e-03)
7              	(3.1844215e-02 1.4772586e-03 -1.0525901e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.1844215e-02 1.4772586e-03 -1.0525901e-03)
8              	(3.5856167e-02 1.6840591e-03 -9.8406068e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.5856167e-02 1.6840591e-03 -9.8406068e-04)
9              	(3.9267526e-02 1.7849874e-03 -8.5454555e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(3.9267526e-02 1.7849874e-03 -8.5454555e-04)
10             	(4.2118438e-02 1.7967743e-03 -6.7504166e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.2118438e-02 1.7967743e-03 -6.7504166e-04)
11             	(4.4513198e-02 1.7454830e-03 -4.5847187e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.4513198e-02 1.7454830e-03 -4.5847187e-04)
12             	(4.6548857e-02 1.6655234e-03 -2.2165357e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.6548857e-02 1.6655234e-03 -2.2165357e-04)
13             	(4.8294283e-02 1.5736463e-03 2.0992622e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.8294283e-02 1.5736463e-03 2.0992622e-05)
14             	(4.9796266e-02 1.9914585e-03 3.0228082e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(4.9796266e-02 1.9914585e-03 3.0228082e-04)
15             	(5.1103667e-02 1.8540073e-03 5.4335184e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.1103667e-02 1.8540073e-03 5.4335184e-04)
16             	(5.2216665e-02 2.4292046e-03 7.7741861e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.2216665e-02 2.4292046e-03 7.7741861e-04)
17             	(5.3179934e-02 2.9966491e-03 9.8486042e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.3179934e-02 2.9966491e-03 9.8486042e-04)
18             	(5.4004353e-02 3.5997722e-03 1.1549928e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.4004353e-02 3.5997722e-03 1.1549928e-03)
19             	(5.4702694e-02 3.7092930e-03 1.2646373e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.4702694e-02 3.7092930e-03 1.2646373e-03)
20             	(5.5281669e-02 4.3069368e-03 1.3522671e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.5281669e-02 4.3069368e-03 1.3522671e-03)
21             	(5.5774769e-02 4.8212472e-03 1.4137073e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.5774769e-02 4.8212472e-03 1.4137073e-03)
22             	(5.6186429e-02 5.2738139e-03 1.4529149e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.6186429e-02 5.2738139e-03 1.4529149e-03)
23             	(5.6524534e-02 5.6518268e-03 1.4743701e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.6524534e-02 5.6518268e-03 1.4743701e-03)
24             	(5.6799036e-02 5.9508045e-03 1.4783710e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.6799036e-02 5.9508045e-03 1.4783710e-03)
25             	(5.7016291e-02 6.2397720e-03 1.4652656e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7016291e-02 6.2397720e-03 1.4652656e-03)
26             	(5.7196370e-02 6.1208316e-03 1.5800941e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7196370e-02 6.1208316e-03 1.5800941e-03)
27             	(5.7333353e-02 5.9203823e-03 1.8501018e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7333353e-02 5.9203823e-03 1.8501018e-03)
28             	(5.7442260e-02 5.7119808e-03 2.1529220e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7442260e-02 5.7119808e-03 2.1529220e-03)
29             	(5.7530230e-02 5.5312873e-03 2.4246265e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7530230e-02 5.5312873e-03 2.4246265e-03)
30             	(5.7601927e-02 5.3894300e-03 2.6463750e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7601927e-02 5.3894300e-03 2.6463750e-03)
31             	(5.7660951e-02 5.2922293e-03 2.8202058e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7660951e-02 5.2922293e-03 2.8202058e-03)
32             	(5.7709950e-02 5.2192208e-03 2.9541458e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7709950e-02 5.2192208e-03 2.9541458e-03)
33             	(5.7751190e-02 5.1686477e-03 3.0362678e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7751190e-02 5.1686477e-03 3.0362678e-03)
34             	(5.7786194e-02 5.1283840e-03 3.0679616e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7786194e-02 5.1283840e-03 3.0679616e-03)
35             	(5.7816004e-02 5.0801189e-03 3.0445092e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7816004e-02 5.0801189e-03 3.0445092e-03)
36             	(5.7841621e-02 5.0377797e-03 2.9636187e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7841621e-02 5.0377797e-03 2.9636187e-03)
37             	(5.7863521e-02 4.9988794e-03 2.8328166e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7863521e-02 4.9988794e-03 2.8328166e-03)
38             	(5.7882212e-02 4.9546250e-03 2.6537433e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7882212e-02 4.9546250e-03 2.6537433e-03)
39             	(5.7898183e-02 4.9096295e-03 2.4374442e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7898183e-02 4.9096295e-03 2.4374442e-03)
40             	(5.7911817e-02 4.8628520e-03 2.1967990e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7911817e-02 4.8628520e-03 2.1967990e-03)
41             	(5.7923341e-02 4.8111893e-03 1.9426328e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7923341e-02 4.8111893e-03 1.9426328e-03)
42             	(5.7933027e-02 4.7525263e-03 1.6848843e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7933027e-02 4.7525263e-03 1.6848843e-03)
43             	(5.7941142e-02 4.6835575e-03 1.4304578e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7941142e-02 4.6835575e-03 1.4304578e-03)
44             	(5.7947914e-02 4.6017643e-03 1.1851052e-03)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7947914e-02 4.6017643e-03 1.1851052e-03)
45             	(5.7953523e-02 4.5056039e-03 9.5423297e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7953523e-02 4.5056039e-03 9.5423297e-04)
46             	(5.7958183e-02 4.3950261e-03 7.4213981e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7958183e-02 4.3950261e-03 7.4213981e-04)
47             	(5.7962025e-02 4.2718498e-03 5.5288060e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7962025e-02 4.2718498e-03 5.5288060e-04)
48             	(5.7965203e-02 4.1387767e-03 3.8917786e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7965203e-02 4.1387767e-03 3.8917786e-04)
49             	(5.7967839e-02 3.9998243e-03 2.5220016e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7967839e-02 3.9998243e-03 2.5220016e-04)
50             	(5.7970046e-02 3.8596435e-03 1.4187020e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7970046e-02 3.8596435e-03 1.4187020e-04)
51             	(5.7971907e-02 3.7230785e-03 5.6999240e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7971907e-02 3.7230785e-03 5.6999240e-05)
52             	(5.7973494e-02 3.5948689e-03 -4.4383999e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7973494e-02 3.5948689e-03 -4.4383999e-06)
53             	(5.7974859e-02 3.4787394e-03 -4.5009802e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7974859e-02 3.4787394e-03 -4.5009802e-05)
54             	(5.7976044e-02 3.3774353e-03 -6.7721212e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7976044e-02 3.3774353e-03 -6.7721212e-05)
55             	(5.7977081e-02 3.2923970e-03 -7.5673873e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7977081e-02 3.2923970e-03 -7.5673873e-05)
56             	(5.7977993e-02 3.2237425e-03 -7.1995712e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7977993e-02 3.2237425e-03 -7.1995712e-05)
57             	(5.7978797e-02 3.1705931e-03 -5.9576426e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7978797e-02 3.1705931e-03 -5.9576426e-05)
58             	(5.7979507e-02 3.1313371e-03 -4.1035580e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7979507e-02 3.1313371e-03 -4.1035580e-05)
59             	(5.7980132e-02 3.1039412e-03 -1.8559523e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7980132e-02 3.1039412e-03 -1.8559523e-05)
60             	(5.7980682e-02 3.0862421e-03 6.0628041e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7980682e-02 3.0862421e-03 6.0628041e-06)
61             	(5.7981165e-02 3.0761333e-03 3.1404583e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7981165e-02 3.0761333e-03 3.1404583e-05)
62             	(5.7981589e-02 3.0716999e-03 5.6365390e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7981589e-02 3.0716999e-03 5.6365390e-05)
63             	(5.7981960e-02 3.0713131e-03 8.0162995e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7981960e-02 3.0713131e-03 8.0162995e-05)
64             	(5.7982284e-02 3.0736614e-03 1.0227630e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7982284e-02 3.0736614e-03 1.0227630e-04)
65             	(5.7982567e-02 3.0777403e-03 1.2232631e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7982567e-02 3.0777403e-03 1.2232631e-04)
66             	(5.7982812e-02 3.0828093e-03 1.4010205e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7982812e-02 3.0828093e-03 1.4010205e-04)
67             	(5.7983027e-02 3.0883130e-03 1.5566093e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983027e-02 3.0883130e-03 1.5566093e-04)
68             	(5.7983214e-02 3.0939385e-03 1.6923776e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983214e-02 3.0939385e-03 1.6923776e-04)
69             	(5.7983378e-02 3.0994474e-03 1.8102793e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983378e-02 3.0994474e-03 1.8102793e-04)
70             	(5.7983522e-02 3.1046807e-03 1.9125240e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983522e-02 3.1046807e-03 1.9125240e-04)
71             	(5.7983648e-02 3.1095750e-03 2.0009978e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983648e-02 3.1095750e-03 2.0009978e-04)
72             	(5.7983758e-02 3.1140642e-03 2.0772036e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983758e-02 3.1140642e-03 2.0772036e-04)
73             	(5.7983854e-02 3.1181402e-03 2.1423400e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983854e-02 3.1181402e-03 2.1423400e-04)
74             	(5.7983939e-02 3.1218271e-03 2.1982927e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7983939e-02 3.1218271e-03 2.1982927e-04)
75             	(5.7984013e-02 3.1251506e-03 2.2462503e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984013e-02 3.1251506e-03 2.2462503e-04)
76             	(5.7984077e-02 3.1281403e-03 2.2870752e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984077e-02 3.1281403e-03 2.2870752e-04)
77             	(5.7984133e-02 3.1308216e-03 2.3212806e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984133e-02 3.1308216e-03 2.3212806e-04)
78             	(5.7984183e-02 3.1332270e-03 2.3501031e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984183e-02 3.1332270e-03 2.3501031e-04)
79             	(5.7984226e-02 3.1353752e-03 2.3748563e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984226e-02 3.1353752e-03 2.3748563e-04)
80             	(5.7984263e-02 3.1372798e-03 2.3964785e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984263e-02 3.1372798e-03 2.3964785e-04)
81             	(5.7984296e-02 3.1389800e-03 2.4157016e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984296e-02 3.1389800e-03 2.4157016e-04)
82             	(5.7984325e-02 3.1404969e-03 2.4325505e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984325e-02 3.1404969e-03 2.4325505e-04)
83             	(5.7984350e-02 3.1418438e-03 2.4470320e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984350e-02 3.1418438e-03 2.4470320e-04)
84             	(5.7984372e-02 3.1430336e-03 2.4594191e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(5.7984372e-02 3.1430336e-03 2.4594191e-04)
